"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","wp-btn","listing-card--owner-info__firm-name","he-lazy-image src 2"
"https://www.hepsiemlak.com/izmir-cigli-atasehir-kiralik/daire/58372-6022","35","110.000","10-10-2025","Kiralık Daire","3 +
                          1","165 m²","11
                        Yaşında","8. Kat","Mavişehir Aden Park Ta 3+1 Eşyalı Kiralık Daire","İzmir / Çiğli / Ataşehir Mah.","https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-plus-58372","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/7/3/8/5/0/1d7faae5-65d0-4f0c-a7c4-fc02c16b0ffb.jpg","Whatsapp","Coldwell Banker Plus",""
"https://www.hepsiemlak.com/izmir-buca-efeler-kiralik/daire/70103-1117","36","40.000","23-10-2025","Kiralık Daire","3 +
                          1","175 m²","9
                        Yaşında","Ara Kat","Şirinyer Forbeste 3+1, Geniş Genç, Zemin Üstü 2.Kat Arakat Daire","İzmir / Buca / Efeler Mah.","https://www.hepsiemlak.com/emlak-ofisi/egebay-gayrimenkul-70103","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/0/1/0/7/0/f4efc9dc-adfa-4d9f-804a-19db702a46c4.jpg","Whatsapp","Egebay Gayrimenkul",""
"https://www.hepsiemlak.com/izmir-narlidere-catalkaya-kiralik/daire/21671-6486","49","35.000","10-10-2025","Kiralık Daire","3 +
                          2","240 m²","25
                        Yaşında","3. Kat","Narlıderede Kiralık Daire 2 Banyo Otoban&metro&ana Yol 100 Mt","İzmir / Narlıdere / Çatalkaya Mah.","https://www.hepsiemlak.com/emlak-ofisi/a24-site-gayrimenkul-danismanligi-21671","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/7/6/1/2/0/4e5cad35-93a5-491e-ae0f-db15c85db668.jpg","Whatsapp","A24 Site Gayrimenkul Danışmanlığı",""
"https://www.hepsiemlak.com/izmir-bornova-doganlar-kiralik/daire/148398-165","22","18.000","12-10-2025","Kiralık Daire","1 +
                          1","50 m²","Sıfır Bina","Yüksek Giriş","Bornova Doğanlar Da 1+1  Kiralık Lüks Daire","İzmir / Bornova / Doğanlar Mah.","https://www.hepsiemlak.com/emlak-ofisi/ayyildiz-gayrimenkul-148398","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/2/6/0/3/6/4/4/1747243094543-44630620.jpg","Whatsapp","Ayyıldız Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/9/3/8/4/1/c9dbef4e-545b-44b4-97f8-681ca04d1226.jpg"
"https://www.hepsiemlak.com/izmir-bornova-kazimdirik-kiralik/daire/21915-11592","35","37.000","29-10-2025","Kiralık Daire","1 +
                          1","60 m²","Sıfır Bina","Ara Kat","Bornovada Hemen Teslim  Lüks Eşyalı 1+1 Kiralık Daire","İzmir / Bornova / Kazımdirik Mah.","https://www.hepsiemlak.com/emlak-ofisi/fctu-21915","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/5/3/0/4/1/3/4/e5691585-3118-46b6-8000-91d20e62f91b.jpg","Whatsapp","Fctu","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/1/9/1/2/0/975f10a4-a45a-403a-a078-04bc3a2f88c3.jpg"
"https://www.hepsiemlak.com/izmir-karabaglar-refet-bele-kiralik/daire/76019-1541","11","23.500","17-11-2025","Kiralık Daire","2 +
                          1","85 m²","Sıfır Bina","3. Kat","Refetbele Dogalgazlı Sıfır Bına 2+1","İzmir / Karabağlar / Refet Bele Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/0/1/7/5/4/5/4/1760958435177-45457109.jpg","Whatsapp","",""
"https://www.hepsiemlak.com/izmir-gaziemir-sevgi-kiralik/daire/18427-1187","28","32.000","14-11-2025","Kiralık Daire","2 +
                          1","94 m²","26
                        Yaşında","Yüksek Giriş","Gaziemir Sevgi Mah. Emlak Konut 2'de Eşyalı Kiralık 2+1 Daire.","İzmir / Gaziemir / Sevgi Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/2/4/5/4/4/5/4/7600d0aa-a987-4753-85ee-1d3a50b44581.jpg","Whatsapp","",""
"https://www.hepsiemlak.com/izmir-konak-piri-reis-kiralik/daire/83651-1696","24","25.000","24-11-2025","Kiralık Daire","2 +
                          1","95 m²","39
                        Yaşında","Ara Kat","Pirireis Mah.De Caddenin Bir Arka Sokağında 2+1 90m2  Temiz Bakımlı Arakat Daire","İzmir / Konak / Piri Reis Mah.","https://www.hepsiemlak.com/emlak-ofisi/almira-emlak-83651","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/4/3/3/5/3/5/4/1759402587-873183-45353348.jpeg","Whatsapp","Almira Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/5/6/3/8/0/42979d50-b404-4074-9a86-d7cc948d4f25.jpg"
"https://www.hepsiemlak.com/izmir-menderes-kemalpasa-kiralik/daire/140307-301","","34.000","01-12-2025","Kiralık Daire","2 +
                          1","110 m²","11
                        Yaşında","2. Kat","Ertan Güneş_ten Eşyalı 2+1 Kiralık Daire","İzmir / Menderes / Kemalpaşa Mah.","https://www.hepsiemlak.com/emlak-ofisi/ertan-gunes-gayrimenkul-140307","","Whatsapp","Ertan Güneş Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/0/3/0/4/1/fe87c399-4dae-4bfa-bf14-fcb3490a74ae.jpg"
"https://www.hepsiemlak.com/izmir-karabaglar-doganay-kiralik/daire/128178-946","22","45.000","24-11-2025","Kiralık Daire","3 +
                          1","150 m²","15
                        Yaşında","Ara Kat","Nurfen’den Cadde Üstü Genç Binada Otoparklı Asansörlü Kiralık Daire","İzmir / Karabağlar / Doğanay Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/5/3/6/4/6/5/4/1763998101-7065458-45646357.jpeg","Whatsapp","",""
"https://www.hepsiemlak.com/izmir-karabaglar-metin-oktay-kiralik/daire/7516-4037","29","28.000","05-12-2025","Kiralık Daire","3 +
                          1","125 m²","36
                        Yaşında","5. Kat","Esenyalıda Hıfzıssıhha Pazar Yeri Yanı Arakat 3+1 Kiralık","İzmir / Karabağlar / Metin Oktay Mah.","https://www.hepsiemlak.com/emlak-ofisi/anahtar-emlak-7516","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/0/1/1/0/4/5/4/f8b94be9-96e0-4de8-8ff5-228fb976201f.jpg","Whatsapp","Anahtar Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/1/5/7/0/0/ff723056-31c9-4911-8608-db53cea0616d.jpg"
"https://www.hepsiemlak.com/izmir-seferihisar-turabiye-kiralik/daire/124024-583","31","20.000","15-10-2025","Kiralık Daire","1 +
                          1","55 m²","1
                        Yaşında","2. Kat","Seferihisar Çolak İbrahim Bey Mah. Kiralık Eşyalı 1+1","İzmir / Seferihisar / Turabiye Mah.","https://www.hepsiemlak.com/emlak-ofisi/arden-gayrimenkul-124024","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/9/4/0/3/4/5/4/ec6444350e2dc02a271cc0efefff69d1f8346950654748ff0665327577961e026b5c02953c7001f9e8603adcf03c85f5.jpg","Whatsapp","Arden Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-seferihisar-turabiye-kiralik/daire/125199-574","14","25.500","13-11-2025","Kiralık Daire","2 +
                          1","73 m²","Sıfır Bina","1. Kat","Çolakibrahimbey Mahallesinde 2+1 A Kalite Kiralık Daremiz!","İzmir / Seferihisar / Turabiye Mah.","https://www.hepsiemlak.com/emlak-ofisi/akkaya-gayrimenkul-125199","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","Akkaya Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/izmir-buca-ataturk-kiralik/daire/151963-3","6","17.500","03-12-2025","Kiralık Daire","1 +
                          1","60 m²","6
                        Yaşında","2. Kat","Buca Atatürk Mahallesinde Eşyalı Kiralık 1+1 Daire","İzmir / Buca / Atatürk Mah.","https://www.hepsiemlak.com/emlak-ofisi/ayna-gayrimenkul-danismanligi-151963","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/8/9/3/8/4/5/4/7ee84720-3fd9-40a6-95f1-0c7319b3441b.jpg","Whatsapp","Ay&na Gayrimenkul Danışmanlığı","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/6/9/1/5/1/781c6b7e-4b86-4eeb-9462-0acf4061d2d5.jpg"
