"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","he-lazy-image src 2"
"https://www.hepsiemlak.com/izmir-buca-yaylacik-kiralik/daire/159783-41","27","25.000","29-10-2025","Kiralık Daire","1 +
                          1","55 m²","1
                        Yaşında","10. Kat","Skyline'dan Eşyalı Site İçi K.Otoparklı Kiralık","İzmir / Buca / Yaylacık Mah.","https://www.hepsiemlak.com/emlak-ofisi/skyline-gayrimenkul-ve-yatirim-danismanligi-insaat-159783","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/8/7/9/5/1/0979d8ce-0e94-4ce4-8e0d-7ab9b5c4832c.jpg","Skyline Gayrimenkul Ve Yatırım Danışmanlığı İnşaat",""
"https://www.hepsiemlak.com/izmir-buca-adatepe-kiralik/daire/145398-152","20","24.000","16-10-2025","Kiralık Daire","2 +
                          1","100 m²","11
                        Yaşında","2. Kat","Arakat Doğalgazlı Ayrı Mutfaklı 2+1 Kiralık Daire","İzmir / Buca / Adatepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/tokers-emlak-145398","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/9/3/5/4/1/c9692094-4137-482d-8983-29891124e5ad.jpg","Toker’s Emlak",""
"https://www.hepsiemlak.com/izmir-seferihisar-turabiye-kiralik/daire/145867-296","16","20.000","10-10-2025","Kiralık Daire","1 +
                          1","55 m²","1
                        Yaşında","Yüksek Giriş","Seferhisar Turabiye Mh Kiralık Eşyalı 1+1","İzmir / Seferihisar / Turabiye Mah.","https://www.hepsiemlak.com/emlak-ofisi/yalcin-gayrimenkul-145867","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/6/8/5/4/1/744b8900-1ee8-45b1-8b42-990fd5c59ad9.jpg","Yalçın Gayrimenkul",""
"https://www.hepsiemlak.com/izmir-kemalpasa-sekiz-eylul-kiralik/daire/151439-117","20","23.000","30-10-2025","Kiralık Daire","2 +
                          1","130 m²","11
                        Yaşında","3. Kat","Polat Gayrimenkul Kiralık 120 M2 Arakat Kapalı Mutfak D.Gazlı","İzmir / Kemalpaşa / Sekiz Eylül Mah.","https://www.hepsiemlak.com/emlak-ofisi/polat-gayrimenkul-151439","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/6/0/6/6/3/5/4/a214f471-765e-491e-a5af-3411106f9e34.jpg","Polat Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/3/4/1/5/1/0f2d960f-0135-4e09-926e-a18a477e6d18.jpg"
"https://www.hepsiemlak.com/izmir-guzelbahce-maltepe-kiralik/daire/90993-11","60","115.000","26-11-2025","Kiralık Daire","3 +
                          1","200 m²","Sıfır Bina","2. Kat","Güzelbahçe Maltepe Mah Sıfır 3+1 Dubleks Kiralık Daireler","İzmir / Güzelbahçe / Maltepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/ofis-cati-gayrimenkul-90993","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/9/0/4/0/3/5/4/5f2c3826-eb82-45ce-8e74-2ade6e15ce02.jpg","Ofis Çatı Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/9/9/0/9/0/0512f000-bca9-463e-b994-00a430a096cc.jpg"
"https://www.hepsiemlak.com/izmir-bornova-zafer-kiralik/daire/154903-76","24","15.000","20-10-2025","Kiralık Daire","3 +
                          1","140 m²","28
                        Yaşında","Bahçe Katı","Zafer Mahallesi Kiralık 3+1 Daire","İzmir / Bornova / Zafer Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/0/7/8/3/2/5/4/1757663569-9721088-45238702.jpeg","",""
"https://www.hepsiemlak.com/izmir-karabaglar-tahsin-yazici-kiralik/daire/133337-382","21","22.000","05-12-2025","Kiralık Daire","2 +
                          1","100 m²","11
                        Yaşında","2. Kat","Türker Gayrimenkul Kiralık 2+1 Ara Kat Daire.","İzmir / Karabağlar / Tahsin Yazıcı Mah.","https://www.hepsiemlak.com/emlak-ofisi/turker-gayrimenkul-danismanlik-133337","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/4/8/6/9/1/5/4/f002ed11d3c340eaf8b3675c91670458d691fd90386b891f2150f059d703a0de2c0e539bab0c9b885a7fb19882974dfb.jpg","Türker Gayrimenkul Danışmanlık","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/3/3/3/3/1/7c2b1f04-5eeb-4530-b0be-de65fc22fe1e.jpg"
"https://www.hepsiemlak.com/izmir-karsiyaka-bostanli-kiralik/daire/27072-2355","21","35.000","26-09-2025","Kiralık Daire","3 +
                          1","125 m²","29
                        Yaşında","4. Kat","Bostanlı Merkezde Sahile Çok Yakın","İzmir / Karşıyaka / Bostanlı Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/7/0/6/4/2/5/4/1757760688744-45246079.jpg","",""
"https://www.hepsiemlak.com/izmir-cesme-alacati-kiralik/villa/31201-1193","14","800.000","05-12-2025","Kiralık Villa","4 +
                          2","175 m²","10
                        Yaşında","","Alaçatı Çamlıkyol'da  Sezonluk Kiralık Havuzlu Lüks Villa","İzmir / Çeşme / Alaçatı Mah.","https://www.hepsiemlak.com/emlak-ofisi/nil-gayrimenkul-emlak-31201","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/8/3/0/2/5/5/4/3c4ffc72-49f0-49ef-a0ec-bd15625b7c4f.jpg","Nil Gayrimenkul Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/0/2/1/3/0/939bec4a-76e3-4a91-a508-15469760952a.jpg"
"https://www.hepsiemlak.com/izmir-bayrakli-cengizhan-kiralik/daire/35475-7659","30","27.000","18-11-2025","Kiralık Daire","2 +
                          1","70 m²","6
                        Yaşında","1. Kat","Bayraklı Şehir Hastanesi Yakını 2+1 Yeni Binada Kiralık Daire","İzmir / Bayraklı / Cengizhan Mah.","https://www.hepsiemlak.com/emlak-ofisi/turyap-bayrakli-temsilciligi-35475","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/5/2/3/8/5/5/4/d5129135-b47e-4dc2-8b94-184eb4427191.jpg","Turyap Bayraklı Temsilciliği","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/7/4/5/3/0/f43ce2fb-220f-453d-b636-8ad553533560.jpg"
