"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","he-lazy-image src 2","list-view-header"
"https://www.hepsiemlak.com/izmir-karabaglar-poligon-kiralik/daire/27947-7471","24","33.000","03-12-2025","Kiralık Daire","1 +
                          1","50 m²","10
                        Yaşında","1. Kat","İzmir / Karabağlar / Poligon Mah.","https://www.hepsiemlak.com/emlak-ofisi/arena-gayrimenkul-27947","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/4/9/7/2/0/c6faa483-a7d7-44bc-a470-58bf041cd8ac.jpg","Arena Gayrimenkul","",""
"https://www.hepsiemlak.com/izmir-konak-mehmet-ali-akman-kiralik/daire/27947-7478","30","40.000","03-12-2025","Kiralık Daire","3 +
                          1","135 m²","35
                        Yaşında","6. Kat","İzmir / Konak / Mehmet Ali Akman Mah.","https://www.hepsiemlak.com/emlak-ofisi/arena-gayrimenkul-27947","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/4/9/7/2/0/c6faa483-a7d7-44bc-a470-58bf041cd8ac.jpg","Arena Gayrimenkul","",""
"https://www.hepsiemlak.com/izmir-buca-firat-kiralik/daire/64940-82","16","20.000","04-12-2025","Kiralık Daire","3 +
                          1","170 m²","18
                        Yaşında","Ara Kat","İzmir / Buca / Fırat Mah.","https://www.hepsiemlak.com/emlak-ofisi/bozbey-emlak-64940","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/4/9/4/6/0/90060ad1-6cf0-4fda-b55a-264f4a97a5fc.jpg","Bozbey Emlak","",""
"https://www.hepsiemlak.com/izmir-urla-gulbahce-kiralik/daire/115022-915","23","34.000","02-12-2025","Kiralık Daire","2 +
                          1","70 m²","2
                        Yaşında","1. Kat","İzmir / Urla / Gülbahçe Mah.","https://www.hepsiemlak.com/emlak-ofisi/ctn-gayrimenkul-115022","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Çtn Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/izmir-bayrakli-emek-kiralik/daire/83235-171","25","24.000","01-12-2025","Kiralık Daire","2 +
                          1","90 m²","9
                        Yaşında","Ara Kat","İzmir / Bayraklı / Emek Mah.","https://www.hepsiemlak.com/emlak-ofisi/vassa-gayrimenkul-83235","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Vassa Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/izmir-karsiyaka-yali-kiralik/daire/27991-1148","16","50.000","05-12-2025","Kiralık Daire","1 +
                          1","68 m²","11
                        Yaşında","17. Kat","İzmir / Karşıyaka / Yalı Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","Mavişehir Park Yaşam Sitesinde Kiralık 1+1 Daire"
"https://www.hepsiemlak.com/izmir-karsiyaka-bostanli-kiralik/daire/62049-2058","22","35.000","02-12-2025","Kiralık Daire","3 +
                          1","120 m²","31
                        Yaşında","2. Kat","İzmir / Karşıyaka / Bostanlı Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","Bostanlı Girne Bulvarı Üzerinde Kiralık Asansörlü 3+1 Köşe Daire"
"https://www.hepsiemlak.com/izmir-menderes-kasimpasa-kiralik/daire/70103-1152","36","35.000","17-11-2025","Kiralık Daire","3 +
                          1","140 m²","11
                        Yaşında","2. Kat","İzmir / Menderes / Kasımpaşa Mah.","https://www.hepsiemlak.com/emlak-ofisi/egebay-gayrimenkul-70103","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Egebay Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Egebay Gayrimenkul,Den Kiralık 3+1 Arakat Daire"
"https://www.hepsiemlak.com/izmir-karabaglar-ihsan-alyanak-kiralik/daire/130288-701","21","17.000","03-11-2025","Kiralık Daire","3 +
                          0","125 m²","25
                        Yaşında","3. Kat","İzmir / Karabağlar / İhsan Alyanak Mah.","https://www.hepsiemlak.com/emlak-ofisi/turpa-guven-gayrimenkul-130288/abdulkadir-ozdemir-3322231","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Turpa Güven Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Turpa Güven'den İhsan Alyanak Mahallesinde 3+1 Kiralık Daire"
"https://www.hepsiemlak.com/izmir-konak-mithatpasa-kiralik/daire/5823-2776","30","32.000","11-11-2025","Kiralık Daire","3 +
                          1","145 m²","31
                        Yaşında","2. Kat","İzmir / Konak / Mithatpaşa Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","Mithatpaşa Caddesinde Tramvaya Yakın, Doğalgazlı, 2.Kat, 3+1, Kiralık Daire"
"https://www.hepsiemlak.com/izmir-karabaglar-maliyeciler-kiralik/daire/60493-618","21","25.000","02-12-2025","Kiralık Daire","3 +
                          1","130 m²","26
                        Yaşında","3. Kat","İzmir / Karabağlar / Maliyeciler Mah.","https://www.hepsiemlak.com/emlak-ofisi/yon-ev-gayrimenkul-60493","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Yön-ev Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Yön-Ev'den Hastane Yakını Polat Cd Paraleli Doğalgazlı Köşe 3+1"
"https://www.hepsiemlak.com/izmir-konak-kilic-reis-kiralik/daire/60493-625","12","27.000","02-12-2025","Kiralık Daire","2 +
                          1","90 m²","11
                        Yaşında","4. Kat","İzmir / Konak / Kılıç Reis Mah.","https://www.hepsiemlak.com/emlak-ofisi/yon-ev-gayrimenkul-60493","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Yön-ev Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Üçyol Metroya Yakın Kiralık Daire"
